performance_id,hero_id,Total Pro wins,Times Picked,Times Banned,Win Rate,Niche Hero?,Total Pro wins normalized,Times Picked normalized,Times Banned normalized,Win Rate normalized
79,79,88,179,295,49.16,False,0.20843672456575682,0.2185929648241206,0.26867119301648884,0.3475777448698963
80,80,101,192,80,52.6,True,0.24069478908188585,0.23492462311557788,0.06013579049466537,0.4203511741061985
81,81,72,134,274,53.73,False,0.1687344913151365,0.1620603015075377,0.24830261881668284,0.4442563994076581
82,82,145,240,414,60.42,False,0.34987593052109184,0.2952261306532663,0.38409311348205627,0.585783795218955
83,83,103,216,385,47.69,False,0.2456575682382134,0.2650753768844221,0.3559650824442289,0.31647979691136024
84,84,18,55,135,32.73,False,0.034739454094292806,0.06281407035175879,0.11348205625606207,0.0
85,85,233,539,448,43.23,False,0.5682382133995038,0.6708542713567839,0.41707080504364696,0.22212819970382905
86,86,37,70,70,52.86,False,0.08188585607940446,0.08165829145728644,0.0504364694471387,0.425851491432198
87,87,122,242,154,50.41,True,0.29280397022332505,0.29773869346733667,0.13191076624636275,0.3740215781679712
88,88,99,203,185,48.77,False,0.23573200992555832,0.24874371859296482,0.16197866149369544,0.3393272688808971
89,89,56,109,27,51.38,True,0.12903225806451613,0.1306532663316583,0.008729388942774006,0.3945419928072774
90,90,59,118,55,50.0,True,0.13647642679900746,0.14195979899497488,0.03588748787584869,0.3653480008462027
91,91,204,400,235,51.0,True,0.49627791563275436,0.4962311557788945,0.2104752667313288,0.3865030674846626
92,92,44,104,99,42.31,False,0.09925558312655088,0.12437185929648241,0.07856450048496605,0.20266553839644605
93,93,110,215,574,51.16,False,0.2630272952853598,0.2638190954773869,0.539282250242483,0.38988787814681614
94,94,84,152,94,55.26,True,0.19851116625310175,0.18467336683417085,0.07371483996120272,0.4766236513645018
95,95,44,84,67,52.38,True,0.09925558312655088,0.0992462311557789,0.0475266731328807,0.41569705944573737
96,96,34,73,76,46.58,False,0.07444168734491315,0.08542713567839195,0.05625606207565471,0.29299767294266976
97,97,97,211,107,45.97,False,0.23076923076923078,0.25879396984924624,0.0863239573229874,0.28009308229320923
98,98,106,209,219,50.72,False,0.2531017369727047,0.2562814070351759,0.19495635305528614,0.38057964882589385
99,99,305,591,772,51.61,False,0.7468982630272953,0.7361809045226131,0.7313288069835111,0.39940765813412316
100,100,33,73,117,45.21,False,0.07196029776674938,0.08542713567839195,0.09602327837051407,0.26401523164797974
101,101,183,352,496,51.99,False,0.4441687344913151,0.435929648241206,0.463627546071775,0.40744658345673795
102,102,97,203,194,47.78,False,0.23076923076923078,0.24874371859296482,0.17070805043646944,0.3183837529088217
103,103,161,286,201,56.29,True,0.38957816377171217,0.3530150753768844,0.17749757516973813,0.4984133700021155
104,104,39,85,221,45.88,False,0.08684863523573201,0.10050251256281408,0.19689621726479145,0.27818912629574793
105,105,9,26,169,34.62,False,0.01240694789081886,0.026381909547738693,0.14645974781765275,0.03998307594668924
106,106,55,113,62,48.67,False,0.12655086848635236,0.135678391959799,0.04267701260911736,0.33721176221705107
107,107,246,437,767,56.29,False,0.6004962779156328,0.542713567839196,0.7264791464597479,0.4984133700021155
108,108,98,193,320,50.78,False,0.23325062034739455,0.23618090452261306,0.2929194956353055,0.38184895282420145
109,109,106,206,199,51.46,False,0.2531017369727047,0.25251256281407036,0.1755577109602328,0.3962343981383542
110,110,36,68,78,52.94,False,0.0794044665012407,0.07914572864321608,0.058195926285160036,0.4275438967632748
111,111,84,177,169,47.46,False,0.19851116625310175,0.21608040201005024,0.14645974781765275,0.31161413158451456
112,112,85,173,226,49.13,False,0.20099255583126552,0.21105527638190955,0.2017458777885548,0.34694309287074265
113,113,407,801,764,50.81,False,1.0,1.0,0.7235693501454898,0.3824836048233553
114,114,49,115,340,42.61,False,0.11166253101736973,0.13819095477386933,0.3123181377303589,0.20901205838798395
115,115,41,79,260,51.9,False,0.09181141439205956,0.09296482412060302,0.2347235693501455,0.4055426274592765
116,116,29,50,246,58.0,False,0.062034739454094295,0.056532663316582916,0.22114451988360814,0.534588533953882
117,117,62,128,278,48.44,False,0.14392059553349876,0.15452261306532664,0.2521823472356935,0.3323460968902052
118,118,234,517,636,45.26,False,0.5707196029776674,0.6432160804020101,0.5994180407371484,0.26507298497990267
119,119,46,100,137,46.0,False,0.10421836228287841,0.11934673366834171,0.11542192046556742,0.2807277342923631
120,120,76,165,432,46.06,False,0.17866004962779156,0.20100502512562815,0.4015518913676043,0.2819970382906707
121,121,21,53,225,39.62,False,0.04218362282878412,0.06030150753768844,0.20077594568380214,0.1457584091389888
122,122,62,145,71,42.76,False,0.14392059553349876,0.17587939698492464,0.05140640155189137,0.21218531838375293
123,123,52,99,40,52.53,True,0.11910669975186104,0.11809045226130653,0.02133850630455868,0.4188703194415063
124,124,88,159,225,55.35,False,0.20843672456575682,0.1934673366834171,0.20077594568380214,0.47852760736196326
